titulo_servico,descricao_completa
Requerimento de licença para trato de interesses particulares,"## **O que é:**

Este serviço permite que servidores públicos municipais solicitem licenças para acomodar situações pessoais ou profissionais específicas. As licenças disponíveis incluem a Licença Sem Vencimento para Trato de Interesses Particulares, a Licença para Acompanhar Cônjuge e a Licença para Estudos.


## **Para que serve:**

O serviço tem como objetivo conceder aos servidores públicos a possibilidade de se afastarem temporariamente de suas funções. Isso permite que eles acomodem necessidades pessoais, como tratar de interesses particulares, acompanhar o cônjuge em deslocamentos, ou investir em seu desenvolvimento profissional através de estudos.


## **Quem pode solicitar:**

Este serviço é destinado a **servidores públicos municipais** do Rio de Janeiro. A solicitação deve ser feita pelo próprio servidor ou por seu representante legal, mediante apresentação de procuração."
Relação de empresas licenciadas para receber resíduos da construção civil (RCC),
"Conservação e manutenção de passarelas, viadutos, pontes e túneis revestidos","## O que é:

Este serviço abrange obras e serviços de engenharia em **passarelas, viadutos, pontes e túneis revestidos**. Seu objetivo principal é **restaurar, melhorar ou manter** o bom estado de conservação desses equipamentos públicos.

Inclui uma vistoria no local para identificar a pertinência do chamado e definir as providências necessárias. É importante ressaltar que **túneis revestidos** são aqueles que possuem um revestimento de concreto.


## Para que serve:

Assegurar a **restauração, melhoria e manutenção** do bom estado de passarelas, viadutos, pontes e túneis revestidos, garantindo a segurança e a funcionalidade dessas importantes infraestruturas da cidade.


## Quem pode solicitar:

Qualquer cidadão pode solicitar este serviço para reportar a necessidade de obras ou manutenção em passarelas, viadutos, pontes e túneis revestidos no município do Rio de Janeiro."
Informações do Jaé no MetrôRio,
"Instalação, remoção e manutenção de placa com nome de rua","## O que é:

Este serviço consiste no conserto ou instalação de placas que indicam os nomes das vias. As **placas instaladas são do tipo “pirulito”**, localizadas nas esquinas das ruas, formando um conjunto de sinalização essencial para a identificação dos logradouros.


## Para que serve:

O objetivo principal é garantir a correta identificação das ruas e logradouros da cidade. Isso facilita a orientação de motoristas, pedestres e visitantes, contribuindo para a organização do trânsito e a localização de endereços.


## Quem pode solicitar:

Qualquer cidadão pode solicitar este serviço para garantir a correta sinalização das ruas."
Informações sobre vacinação humana,
Informações sobre sinalização indicativa de serviço,
Prorrogação de prazo para vistoria de táxi,
Requerimento de readaptação do servidor,
Informações sobre os Centros de Atenção Psicossocial (CAPS),"#### **O que é:**

Os Centros de Atenção Psicossocial (CAPS) são unidades de saúde da rede pública que oferecem atendimento especializado em saúde mental no município do Rio de Janeiro.

A cidade conta com 40 unidades distribuídas nas seguintes tipologias:

- 6 CAPS II;
- 13 CAPS III;
- 8 CAPSi II (infantil);
- 3 CAPSi III (infantil);
- 4 CAPSad II (álcool e outras drogas);
- 6 CAPSad III (álcool e outras drogas).

Essas unidades atuam na perspectiva da atenção psicossocial, com atendimento realizado por equipe multiprofissional formada por psiquiatra, enfermeiro, assistente social, psicólogo, agente territorial e outros profissionais.


## **Como funciona:**

Os CAPS trabalham articulados com outras unidades da rede de saúde e com serviços de áreas como educação e assistência social. Entre as atividades oferecidas estão:

- atendimentos individuais;
- atendimentos em grupo;
- acompanhamento de familiares;
- visitas domiciliares;
- oficinas terapêuticas.


O trabalho é realizado com foco na redução de danos, na desinstitucionalização e na reabilitação psicossocial. O acesso pode ocorrer:

- por demanda espontânea;
- por encaminhamento de unidades de atenção primária, especializadas ou hospitalares;
- em situações de crise, por encaminhamento de unidades de emergência ou após internação clínica ou psiquiátrica.


O atendimento no CAPS é realizado conforme a avaliação dos casos, que podem ser imediatos ou agendados com prazo máximo de 30 dias.


#### **Público-alvo:**

Pessoas que necessitam de acompanhamento em saúde mental, incluindo crianças, adolescentes, adultos e pessoas com necessidades relacionadas ao uso de álcool e outras drogas."
Multa de trânsito - Verificação da troca de Real Infrator,
Licenciamento de serviço em vias públicas,"## **O que é:**

Este serviço é a emissão de uma licença para a realização de serviços em vias públicas. Ele formaliza o pedido para execução de obras e/ou reparos programados, garantindo que as intervenções estejam em conformidade com as normas vigentes.

Após a formalização, o pedido é enviado aos órgãos de tutela para análise e pronunciamento. A Comissão Coordenadora de Obras e Reparos em Vias Públicas (SC/COR-VIAS) realiza a análise técnica, podendo autorizar, exigir novas informações, solicitar vistas ou indeferir a licença. O serviço também abrange pedidos de prorrogação de prazo, alteração de projeto, regularização, mudança de PREO e/ou firma executora, e outros documentos complementares.


**Para que serve:**

Serve para obter a autorização oficial necessária para executar obras, reparos e serviços em vias públicas. Garante que os projetos e a documentação apresentada sejam analisados tecnicamente e estejam de acordo com as instruções da normativa vigente.


**Quem pode solicitar:**

Pode ser solicitado por empresas ou profissionais responsáveis por projetos e execução de obras e reparos em vias públicas. É necessário apresentar a documentação exigida, como procuração e ART e/ou RRT do profissional responsável pelo projeto de arquitetura."
Reparo de rampa de acesso em vias públicas,"## **O que é:**

Este serviço permite solicitar o conserto ou a manutenção de rampas de acesso já existentes em vias públicas. Ele garante que essas estruturas estejam em boas condições para uso.


Para casos de instalação de uma rampa nova, a solicitação passará por análise e parecer técnico da CET-Rio. Somente após essa avaliação, o pedido será incluído na programação de obras.


## **Para que serve:**

Garantir a acessibilidade e a segurança de pedestres, especialmente pessoas com mobilidade reduzida. O serviço tem objetivo de manter as rampas de acesso em vias públicas adequadas para o trânsito de todos.


## **Quem pode solicitar:**

Qualquer cidadão do município do Rio de Janeiro pode solicitar este serviço."
Cadastramento de Protetores Voluntários e de Protetores de Colônias,"**O que é:**

Este serviço permite o cadastramento ou recadastramento de pessoas que atuam como protetores voluntários ou de colônias de animais no Município do Rio de Janeiro. O objetivo é regularizar a situação desses protetores, garantindo que possam atuar legalmente e receber apoio à causa animal.

A Secretaria Municipal de Proteção e Defesa dos Animais (SMPDA) realiza visitas de inspeção nos locais de acolhimento, sem agendamento prévio, para fiscalizar as atividades dos protetores cadastrados. Os cadastros que são aprovados são publicados no Diário Oficial do Município do Rio de Janeiro.


**Para que serve:**

O cadastramento serve para formalizar a atuação dos protetores, permitindo que ofereçam lar temporário para animais de rua e se responsabilizem pela assistência de animais de colônia. Além disso, o serviço apoia a conscientização da população contra abusos e maus-tratos de animais.

Protetores cadastrados têm direito a oito marcações por mês para castração (quatro fêmeas e quatro machos), o que contribui diretamente para o controle populacional e bem-estar animal.


**Quem pode solicitar:**

Este serviço é destinado a qualquer cidadão que atue ou deseje atuar como protetor voluntário ou de colônia no Município do Rio de Janeiro.

É possível se cadastrar para oferecer lar temporário a animais, cuidar de animais de rua em colônias ou recadastrar-se para manter a situação regularizada junto à Gerência de Animais Comunitários."
Informações sobre cadastramento para obtenção de gratuidade especial do Jaé,"### O que é:

O Jaé é o sistema de bilhetagem digital do transporte público municipal do Rio de Janeiro, utilizado em modais como BRT, ônibus, VLT, vans e metrô.

No contexto da gratuidade, este serviço reúne orientações sobre o cadastramento para obtenção do cartão Jaé, tanto na versão física quanto digital (via aplicativo), permitindo o acesso ao benefício de transporte para pessoas que necessitam se deslocar para tratamento de saúde ou que possuem deficiência.

A gratuidade tem como finalidade garantir o deslocamento dentro do município, especialmente para acesso a serviços de saúde, respeitando critérios definidos e podendo ter duração limitada (nos casos de tratamento) ou ilimitada (para pessoas com deficiência).


### Como funciona:

A concessão da gratuidade no Jaé depende de avaliação com base em critérios de saúde, sendo necessário laudo médico e cadastro na rede pública.


Podem ter direito ao benefício:

- **Pessoas com deficiência física**, caracterizada por alteração completa ou parcial de um ou mais segmentos do corpo humano, acarretando o comprometimento da função física, neurológica ou sensorial, apresentando-se sob a forma de plegias, paresias, ostomia, amputação ou ausência de membro, paralisia cerebral, nanismo, membros com deformidade congênita ou adquirida, exceto as deformidades estéticas e as que não produzam dificuldades para o desempenho de funções;
- **Pessoas com deficiência visual**, caracterizada por cegueira, na qual a acuidade visual é igual ou menor que zero vírgula zero cinco no melhor olho, com a melhor correção óptica; a baixa visão ou visão subnormal, que significa acuidade visual entre zero vírgula três e zero vírgula zero cinco no melhor olho, com a melhor correção óptica; os casos nos quais a somatória da medida do campo visual em ambos os olhos for igual ou menor que sessenta graus, ou a ocorrência simultânea de quaisquer das condições anteriores não passíveis de melhora na visão com terapêutica clínica ou cirúrgica;
- **Pessoas com deficiência intelectual**, entende-se como uma atividade intelectual abaixo da média de normalidade pré-estabelecida e que é associada a aspectos do funcionamento adaptativos, tais como comunicação, cuidado pessoal, habilidades sociais, utilização dos recursos da comunidade, saúde e segurança, habilidades acadêmicas, lazer e trabalho, podendo dificultar a aprendizagem, comunicação, desenvolvimento da linguagem oral e escrita e sociabilidade;
- **Pessoas com Transtorno do Espectro Autista (TEA)**;
- **Pessoas com associação de duas ou mais deficiências**;
- **Pessoas com doenças crônicas que necessitam de tratamento continuado**. Para doenças crônicas, o laudo médico deve conter:
  - Indicação da doença com base na Classificação Internacional de Doenças (CID-10);
  - Descrição da perda de funcionalidade;
  - Tempo de duração do tratamento e frequência das consultas;
  - Justificativa da necessidade de tratamento continuado (com frequência mínima de duas vezes por mês);
  - Justificativa da necessidade de deslocamento dentro do município e, quando necessário, de acompanhante.


A quantidade de passagens concedidas varia conforme o caso:

- **Ilimitada**: para pessoas com deficiência, pessoas com TEA, maiores de 65 anos e seus acompanhantes (quando necessário);
- **Mínimo de 60 passagens mensais**: para pessoas com doenças renais crônicas, transplantados, hanseníase e pessoas vivendo com HIV;
- **Definida por laudo médico**: para demais doenças crônicas, podendo ser ampliada conforme recomendação.
  - O saldo de passagens mensais não é cumulativo, sendo zerado ao final de cada mês.  
  O acompanhante só pode utilizar o benefício quando estiver acompanhando o titular.
  - O cartão Jaé é pessoal e intransferível. O uso indevido pode gerar bloqueio automático do benefício nos validadores dos transportes.


A solicitação inicial, revalidação e inclusão de acompanhante devem ser realizadas na unidade de Atenção Primária de referência do usuário.


### Público-alvo:

O benefício é destinado a moradores da cidade que atendam aos critérios estabelecidos para a concessão da gratuidade no transporte público municipal."
Projeto Agente Experiente,"## O que é:

O Programa Agente Experiente é oferece benefícios de transferência de renda para idosos no valor de R$ 600 e também promove a participação desse público em ações desenvolvidas nos espaços da Prefeitura, com uma carga horária de até 16 horas semanais.


## Para que serve:

O programa serve para reconhecer e valorizar a experiência de idosos, promovendo a participação destes em ações da Prefeitura que valorizam a sua experiência, além de oferecer um benefício de transferência de renda.


## Quem pode solicitar:

Cidadãos a partir dos 60 anos. É necessário ser independente, alfabetizado e autônomo para as atividades cotidianas, além de possuir **renda individual de até dois salários mínimos.**


## **Informações complementares:**

O benefício será cancelado em caso de falecimento, mudança de município, alteração nas condições de saúde do idoso, alteração na composição de renda, ou avaliação técnica."
Informações sobre cobrança antecipada (tabelada) de corridas de táxi,
"Implantação de equipamentos de lazer em parques, praças e áreas verdes da cidade",
Avaliação de surto por doença transmitida por alimentos e água,
Nota Carioca - Emissão de nota fiscal eletrônica,
Casas de Convivência e Lazer para pessoas idosas,"## O que é:

As Casas de Convivência e Lazer são espaços dedicados à socialização e ao lazer para pessoas idosas (a partir de 60 anos) e em processo de envelhecimento (a partir de 50 anos). Elas oferecem uma variedade de atividades e oficinas gratuitas, visando promover o bem-estar geral dos participantes.


## Para que serve:

Esses locais são projetados para gerar um impacto positivo na saúde física, mental e emocional dos seus frequentadores, através de atividades que estimulam a socialização, o lazer e o desenvolvimento pessoal.

O serviço busca oferecer oportunidades de engajamento e bem-estar para a população idosa e em processo de envelhecimento do Rio de Janeiro.


## Quem pode solicitar:

O programa é destinado a pessoas idosas, a partir de 60 anos, e pessoas em processo de envelhecimento, a partir de 50 anos."
Fiscalização de quiosque de praia,"## O que é

Este serviço consiste na fiscalização de quiosques localizados na orla da praia que estejam operando de forma irregular. É importante notar que quiosques de praia possuem um Alvará Especial de funcionamento, diferenciando-os do comércio ambulante tradicional.


## Para que serve

Garantir que os quiosques de praia operem em conformidade com as normas e regulamentos municipais. O serviço visa coibir irregularidades e assegurar o cumprimento das condições estabelecidas em seus alvarás especiais de funcionamento.


## Quem pode solicitar

Qualquer cidadão que identifique um quiosque de praia funcionando de maneira irregular pode solicitar este serviço. A notificação contribui para a manutenção da ordem e legalidade nas áreas de orla."
TAXI.RIO Cidades - Verificação de problemas no aplicativo,
Desvinculação em Dívida Ativa,"## **O que é:**

Requerimento Administrativo que visa a desvinculação da dívida (tributária ou não tributária) da pessoa indicada na CDA.

O serviço visa corrigir a atribuição da dívida, garantindo que o débito esteja vinculado ao responsável correto perante o município.


## **Para que serve:**

Garantir a correção dos registros da dívida ativa, desvinculando-a do nome de quem não é o responsável legal pelo débito.

Permitir a regularização da situação fiscal ou não tributária do cidadão junto à Procuradoria Geral do Município do Rio de Janeiro - PGM.


## **Quem pode solicitar:**

Pessoas físicas ou jurídicas que constam indevidamente como devedoras em uma Certidão de Dívida Ativa (CDA).

O requerimento também pode ser feito por um representante legal, mediante a apresentação de procuração específica."
Gestão de contratos e/ou créditos habitacionais dos imóveis construídos pela RIO-URBE,
Baixa de Autorização de Publicidade,"## **O que é:**

Este serviço permite solicitar o cancelamento formal de uma autorização de publicidade que foi previamente concedida. A autorização pode ter sido emitida pela Subgerência de Publicidade ou por uma das Gerências Regionais de Licenciamento e Fiscalização, ambas vinculadas à Coordenadoria de Licenciamento e Fiscalização.

A baixa consiste na efetivação do encerramento dessa autorização, garantindo que o registro da publicidade seja devidamente atualizado nos órgãos competentes da Secretaria Municipal de Fazenda.


## **Para que serve:**

Formalizar o encerramento ou cancelamento de uma autorização de publicidade, garantindo a regularização da situação perante os órgãos de licenciamento e fiscalização do município.


## **Quem pode solicitar:**

Cidadãos ou empresas que possuem uma autorização de publicidade concedida e desejam encerrá-la. A solicitação deve ser feita por um responsável que assinará a petição eletrônica."
Homologação de materiais e equipamentos de iluminação pública,"## **O que é:**

Este serviço fornece informações detalhadas sobre os procedimentos necessários para a homologação de materiais e equipamentos de iluminação pública. A homologação é realizada no âmbito da Rioluz, garantindo que os itens atendam aos padrões exigidos.


## **Para que serve:**

O serviço serve para certificar que os materiais e equipamentos destinados à iluminação pública estão em conformidade com as normas técnicas e de qualidade da Rioluz. Isso assegura a segurança e a eficiência dos sistemas de iluminação da cidade.


## **Quem pode solicitar:**

Este serviço é destinado a **empresas** que desejam homologar seus materiais e equipamentos para uso em projetos de iluminação pública gerenciados pela Rioluz."
Solicitação para ligação de águas pluviais na rede pública,
Licença Municipal Prévia e de Instalação (LMPI),"**O que é:**


A Licença Municipal Prévia e de Instalação (LMPI) é um documento concedido antes do início da implantação de um empreendimento ou atividade. Ela atesta a viabilidade ambiental e aprova a instalação, em uma única fase, para projetos que não exigem estudos ambientais complexos, conforme regulamentação específica.


Este serviço é realizado de forma digital. O solicitante envia o requerimento e a documentação básica por e-mail, e a equipe técnica gera um processo digital na plataforma sei.rio. Após análise, que pode incluir exigências a serem cumpridas, é elaborado um parecer técnico para a emissão da licença.


Para requerimentos apresentados em processos físicos, antes da implantação do Processo.rio, os documentos devem ser entregues presencialmente, através de procurador ou representante legal.


**Para que serve:**


A LMPI permite atestar a viabilidade ambiental e aprovar a implantação de empreendimentos ou atividades que não necessitam de estudos ambientais aprofundados.


**Quem pode solicitar:**


Qualquer pessoa ou empresa que precise implantar um empreendimento ou atividade no município do Rio de Janeiro e que se enquadre nos critérios para este tipo de licenciamento ambiental simplificado."
Certificado de Adequação de Imóvel (CAI) Protegidos pelo Patrimônio Cultural,"## **O que é:**

O Certificado de Adequação de Imóveis (CAI) ou Laudo de Aptidão é um documento emitido para imóveis que possuem proteção cultural ou histórica. Ele serve para avaliar as condições de conservação do bem e determinar se ele se adequa aos critérios de preservação estabelecidos.

Este serviço pode resultar na emissão do Certificado de Adequação do Imóvel se as condições forem ótimas. Caso contrário, será elaborado um Laudo de Aptidão com uma lista de exigências de obras a serem realizadas para que o imóvel atinja a conformidade.


## **Para que serve:**

Este serviço tem como objetivo principal a obtenção do benefício de isenção de IPTU para imóveis protegidos. Ele incentiva a conservação do patrimônio cultural e histórico da cidade, oferecendo um benefício fiscal aos proprietários.

Com o Laudo de Aptidão, é possível conseguir a suspensão da cobrança do IPTU por 3 anos enquanto as obras de adequação são realizadas. Após a conclusão e verificação da conformidade das obras, o imóvel poderá receber o Certificado de Adequação, garantindo mais sete anos de isenção do imposto.


## **Quem pode solicitar:**

Este serviço é destinado a proprietários de imóveis protegidos que buscam a isenção de IPTU. Também pode ser solicitado por arquitetos, urbanistas, engenheiros, construtores, pesquisadores, estudantes e cidadãos em geral que necessitem deste certificado ou laudo para fins relacionados a imóveis protegidos."
Vistoria em ameaça ou queda de revestimento externo,
Alterações cadastrais em Dívida Ativa,"## **O que é:**

Requerimento que visa, na maioria dos casos, a mudança do cadastro de uma cobrança. A alteração pode envolver o Nome/CPF/CNPJ (Pessoa Física ou Jurídica), ou também um endereço. As alterações cadastrais também podem ser solicitadas através de Processo Administrativo oriundo de outras Secretarias.


**ISS, TIS (Taxa de Inspeção Sanitária), Multas Administrativas (de outras Secretarias)**: apresentação de documentos que comprovem baixa de suas atividades e da inscrição municipal antes do lançamento dos autos de infração e de notas de lançamento. Se necessário, o Requerimento será autuado, formando processo administrativo, e remetido ao Órgão Autuante para oitiva.


**IPTU**: apresentação de documentos que justifiquem sua exclusão da titularidade do imóvel e das cobranças (inscritas). O principal deles é a Certidão do Registro de Imóveis atualizada, ou seja, contendo o registro que comprove que o imóvel não mais lhe pertence. Para cada bem é considerada a data de registro da venda.


## **Para que serve:**

Este serviço serve para regularizar ou contestar informações de cobranças que estão em Dívida Ativa. Ele garante que os dados cadastrais de contribuintes, sejam pessoas físicas ou jurídicas, estejam corretos e atualizados, evitando problemas futuros relacionados aos débitos municipais.


## **Quem pode solicitar:**

Pessoas físicas ou jurídicas que possuem cobranças registradas em Dívida Ativa e necessitam atualizar seus dados cadastrais ou contestar informações. A solicitação pode ser feita pelo próprio titular da cobrança ou por um representante legal devidamente autorizado por procuração."
Projeto Vida Ativa,"## O que é:

O Projeto Vida Ativa é uma iniciativa que oferece atividades físicas gratuitas em diversos bairros do Rio de Janeiro. As atividades são conduzidas por profissionais de educação física, saúde e apoio, visando promover o bem-estar da população.


O projeto inclui **duas modalidades**:

- **Ginástica**: Atividade orientada por profissionais de educação física, focada em aumentar a flexibilidade, equilíbrio, coordenação motora e prevenir doenças relacionadas ao sedentarismo.
- **Dança**: Aulas de diversos ritmos, planejadas para promover bem-estar físico e emocional, melhorar a agilidade, atenção, memória, concentração e equilíbrio. Ajuda a combater a depressão e melhorar a autoestima. Esta modalidade se encontra disponível em três núcleos específicos.


## Para que serve:

As atividades físicas contribuem para o aumento da flexibilidade, equilíbrio e coordenação motora, além de prevenir doenças ligadas ao sedentarismo. A dança, especificamente, entrega bem-estar físico e emocional, melhora a agilidade, atenção, memória, concentração e equilíbrio, e ajuda a combater a depressão.


## Quem pode solicitar:

Cidadãos com idade igual ou superior a 40 anos que buscam manter-se ativos e saudáveis através de exercícios físicos."
"Vistoria em ameaça de deslizamento de barreira, encosta e talude","## **O que é:**

Este serviço consiste na vistoria em local com ameaça de deslizamento de barreira, encosta, talude e situações semelhantes, gerando uma análise técnica visual do local da ocorrência. É importante esclarecer que esta vistoria não possui caráter de perícia, que é frequentemente necessária para acionar seguros.


## **Para que serve:**

O serviço serve para identificar a existência de ameaça de deslizamento de barreira, encosta, talude e situações semelhantes e, quando necessário, adotar medidas emergenciais. Isso inclui interdições, isolamentos, escoramentos ou demolições, para garantir a segurança.

Também atua preventivamente, acionando órgãos fiscalizadores para notificar proprietários e/ou responsáveis a executarem obras e serviços que eliminem o risco constatado, protegendo a população e o patrimônio.


## **Quem pode solicitar:**

Qualquer cidadão pode solicitar a vistoria. Em áreas particulares, os proprietários ou seus representantes legais são os responsáveis por executar as obras. Em áreas públicas, a responsabilidade é das autarquias, companhias, concessionárias ou outras entidades governamentais."
ISS – Cadastro de Contribuintes Autônomos no Emissor Nacional (NFS-e),
ISS - Recurso Voluntário,
ISS – Impugnação ao indeferimento da opção pelo Simples Nacional,"## O que é:

Este serviço permite ao contribuinte abrir um processo para impugnar o indeferimento da opção pelo Simples Nacional em até 30 (trinta) dias, contados da data da publicação do edital de notificação no Diário Oficial do Município.


## Para que serve:

Garantir o direito do contribuinte de contestar e reverter a decisão de indeferimento da opção pelo Simples Nacional. O objetivo é buscar a regularização da situação fiscal da empresa junto ao regime simplificado.


## Quem pode solicitar:

Qualquer contribuinte que tenha tido sua opção pelo Simples Nacional indeferida pela Secretaria Municipal de Fazenda."
Infração ao Código Disciplinar de Transporte de Passageiros - Defesa Prévia,
Circuito Carioca de Economia Solidária,
Autorização de pesquisa em Unidades de Conservação,
ISS – Cumprimento de Exigência da Gerência de Fiscalização do ISS,
"Vistoria em ameaça ou queda de passarela, ponte, viaduto e demais estruturas públicas","## **O que é:**

Este serviço consiste na realização de uma vistoria técnica em locais onde há ameaça ou queda de partes de passarelas, pontes, viadutos, além de outras estruturas públicas. Isso inclui elementos como degraus, estruturas, grades de proteção, guarda corpos, pisos e rampas, tanto em áreas públicas quanto privadas.

A vistoria consiste em uma análise técnica visual do local da ocorrência e não possui caráter de perícia, que é uma avaliação específica quanto à identificação das causas dos sinistros.


## **Para que serve:**

O serviço serve para identificar riscos nas estruturas vistoriadas e, quando necessário, adotar medidas emergenciais. Isso inclui interdições, isolamentos, escoramentos ou demolições, para garantir a segurança. Também atua preventivamente, acionando órgãos fiscalizadores para notificar proprietários e/ou responsáveis a executarem obras e/ou serviços que eliminem o risco constatado, protegendo a população e o patrimônio. Caso a estrutura esteja em área pública, os segmentos responsáveis são comunicados, para que igualmente eliminem os riscos existentes.


## **Quem pode solicitar:**

Qualquer cidadão que identifique uma ameaça ou queda de partes de passarelas, pontes, viadutos, além de outras estruturas em área pública ou privada pode solicitar a vistoria."
Informações sobre distribuição de uniformes e material escolar,
Baixa de veículo - Táxi/Mototáxi,
"Fiscalização/inspeção de Feiras Livres, Feiras de Artes e Feiras Especiais","**O que é:**

Este serviço consiste na **fiscalização de feiras regulamentadas** no município, abrangendo feiras livres, de artes, e especiais. O objetivo é coibir irregularidades tanto na atuação dos feirantes quanto das empresas que prestam serviços de aluguel, montagem, desmontagem, transporte e guarda de tabuleiros e mercadorias.

O serviço pode ser acionado em casos de desordens como funcionamento inadequado, ocupação irregular ou indevida, ou operação fora do horário previsto.


**Para que serve:**

O serviço serve para **garantir a ordem e o cumprimento das normas nas feiras autorizadas **pela Prefeitura. Através da fiscalização, são inibidas irregularidades e aplicadas sanções como notificação, multa, cancelamento de permissão ou apreensão de mercadorias e equipamentos para feirantes e empresas prestadoras de serviço.

A fiscalização também verifica a padronização das barracas, cores, medidas, montagem, identificação e documentos de autorização, além da aferição da frequência dos feirantes. Para feiras de artes, a fiscalização não abrange análise técnica ou de produtos, neste caso a responsabilidade é da Secretaria Municipal de Cultura.

Para consultar a relação das Feiras Livres e Feiras Móveis e Feiras Especiais em atividade, acesse **[aqui](https://ordempublica.prefeitura.rio/feiras/)**.


Acesse **[aqui](https://ordempublica.prefeitura.rio/wp-content/uploads/sites/30/2024/06/TERMO-DE-USO-AVISO-FEIRAS-LIVRES-MOVEIS-FEIRAS-ESPECIAIS-E-FEIRARTES-v3.pdf)** o Termo de Uso e Aviso de Privacidade.


**Quem pode solicitar:**

**Qualquer cidadão** pode solicitar este serviço para denunciar irregularidades em feiras."
Informações sobre surto psicótico,"### O que é:

É uma alteração temporária do estado mental em que podem ocorrer sintomas como 

confusão, alucinações ou delírios. Nos casos mais graves, pode ainda haver agitação e agressividade, 

que podem colocar a vida da pessoa em risco.


### Como funciona:

O conteúdo apresenta explicações sobre as principais características de um surto psicótico, ajudando na identificação e compreensão da condição.


### Público-alvo:

Qualquer pessoa interessada em entender o que é um surto psicótico ou que busca informações gerais sobre o tema."
Recurso para recuperação de mercadorias e equipamentos apreendidos,"## **O que é:**

Este serviço permite o acesso aos procedimentos para recurso de recuperação de mercadorias e equipamentos apreendidos em ações de fiscalização do comércio ambulante e ordenamento urbano, em até 5 dias úteis após a apreensão.


## **Para que serve:**

O serviço serve para recuperar mercadorias e equipamentos apreendidos em** **ações de fiscalização do comércio ambulante e ordenamento urbano.


## **Quem pode solicitar:**

Qualquer cidadão ou entidade** **que tenha mercadorias e equipamentos apreendidos."
Verificação de irregularidades na Bilhetagem Eletrônica,
Comprovação do auxílio-creche,"## O que é

Este serviço é o período anual de comprovação do uso do Auxílio Educação, na modalidade **Previ-creche**, pelos servidores municipais. A comprovação ocorre especificamente no mês de **novembro** do ano corrente.


## Para que serve

A comprovação do auxílio-creche serve para regularizar a utilização do benefício perante o Previ-Rio. Ela garante que os valores recebidos correspondam ao período de matrícula do menor na instituição de ensino, evitando a necessidade de devolução de valores não comprovados.


## Quem pode solicitar

Podem solicitar este serviço os **servidores e pensionistas** municipais que utilizaram o Auxílio Educação na modalidade Previ-creche. É necessário ter recebido o benefício e realizar a comprovação dentro do prazo estabelecido."
Abertura de termo para transporte escolar,
Reparação pós-destoca,"## **O que é:**

Este serviço realiza o reparo de calçadas por meio do preenchimento do buraco deixado após a remoção completa de uma árvore, com terra ou entulho, em áreas públicas sem restrição de acesso.


## **Para que serve:**

Eliminar um risco de acidente (queda ou tropeço) e restaurar a integridade da calçada em vias públicas de livre acesso, contribuindo para a segurança e o bem-estar dos cidadãos.


## **Quem pode solicitar:**

Qualquer cidadão** **pode solicitar este serviço ao identificar um buraco na calçada da via pública que foi deixado após a retirada do toco e da raiz de uma árvore."
Manutenção de relógio digital,"## O que é:

O serviço de Manutenção de Relógio Digital permite solicitar o conserto ou ajuste de relógios digitais instalados em espaços públicos.

Este serviço é essencial para garantir o funcionamento correto desses equipamentos, que são importantes para a organização e informação dos cidadãos.


## Para que serve:

O serviço serve para restaurar o funcionamento adequado dos relógios digitais, corrigindo problemas como falhas no display, atrasos ou adiantamentos.

Ele garante que a população tenha acesso a informações de tempo precisas em locais públicos, contribuindo para a organização e pontualidade no dia a dia.


## Quem pode solicitar:

Qualquer cidadão pode solicitar a manutenção de um relógio digital que apresente problemas.

A solicitação pode ser feita ao identificar um relógio digital público que necessite de conserto ou ajuste."
"Vistoria em deslizamento de barreira, encosta e talude","## **O que é:**

Este serviço consiste na vistoria em local com deslizamento de barreira, encosta, talude e situações semelhantes, gerando uma análise técnica visual do local da ocorrência. É importante esclarecer que esta vistoria não possui caráter de perícia, que é frequentemente necessária para acionar seguros.


## **Para que serve:**

O serviço serve para identificar a existência de deslizamento de barreira, encosta e talude, etc. e, quando necessário, adotar medidas emergenciais. Isso inclui interdições, isolamentos, escoramentos ou demolições, para garantir a segurança.

Também atua preventivamente, acionando órgãos fiscalizadores para notificar proprietários e/ou responsáveis a executarem obras e serviços que eliminem o risco constatado, protegendo a população e o patrimônio.


## **Quem pode solicitar:**

Qualquer cidadão pode solicitar a vistoria. Em áreas particulares, os proprietários ou seus representantes legais são os responsáveis por executar as obras. Em áreas públicas, a responsabilidade é das autarquias, companhias, concessionárias ou outras entidades governamentais."
